Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention,Session,TMT
P8-s21,P8-s10,8,21,10,1,1,1,0,2,2,2,0,1,0,0,0,0,1,7,Computer
P8-s22,P8-s2,8,22,2,1,1,1,0,2,2,2,0,0,0,0,0,0,1,7,Computer
P9-s1,P9-s15,9,1,15,1,0,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P9-s2,P9-s21,9,2,21,1,0,0,0,2,1,1,0,0,0,0,0,0,1,7,Computer
P9-s3,P9-s14,9,3,14,1,1,1,0,2,2,2,1,1,0,0,0,0,1,7,Computer
P9-s4,P9-s19,9,4,19,1,1,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P9-s5,P9-s18,9,5,18,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P9-s6,P9-s20,9,6,20,1,1,1,0,2,2,1,0,1,0,0,0,0,1,7,Computer
P9-s7,P9-s22,9,7,22,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P9-s8,P9-s12,9,8,12,1,0,0,0,2,1,1,1,1,0,0,0,0,1,7,Computer
P9-s9,P9-s16,9,9,16,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P9-s10,P9-s17,9,10,17,1,0,0,0,1,2,2,0,0,0,0,0,0,0,7,Computer
P9-s11,P9-s13,9,11,13,1,1,1,0,1,2,1,0,0,0,0,0,0,1,7,Computer
P9-s12,P9-s8,9,12,8,0,1,1,2,0,1,1,0,0,0.4,0.4,3,1,0,7,Computer
P9-s13,P9-s11,9,13,11,0,0,0,1,0,1,2,1,1,0.2,0.3,2,1,0,7,Computer
P9-s14,P9-s3,9,14,3,0,1,1,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
P9-s15,P9-s1,9,15,1,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P9-s16,P9-s9,9,16,9,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P9-s17,P9-s10,9,17,10,0,0,0,1,0,2,2,0,0,0.2,0.3,1,0,0,7,Computer
P9-s18,P9-s5,9,18,5,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P9-s19,P9-s4,9,19,4,0,1,0,2,0,2,2,0,1,0.8,0.2,1,0,0,7,Computer
P9-s20,P9-s6,9,20,6,0,1,0,2,0,1,2,1,1,0.8,0.2,2,1,0,7,Computer
P9-s21,P9-s2,9,21,2,0,0,0,2,0,1,1,0,0,0.4,0.4,2,1,0,7,Computer
P9-s22,P9-s7,9,22,7,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P10-s1,P10-s15,10,1,15,0,1,0,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P10-s2,P10-s22,10,2,22,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P10-s3,P10-s13,10,3,13,0,0,0,2,0,2,1,0,1,0.4,0.4,2,1,0,7,Computer
P10-s4,P10-s16,10,4,16,0,0,0,2,0,1,2,0,0,0.8,0.2,2,0,0,7,Computer
P10-s5,P10-s18,10,5,18,0,1,0,2,0,1,1,1,1,0.4,0.4,1,1,0,7,Computer
P10-s6,P10-s20,10,6,20,0,0,0,2,0,1,1,0,0,0.4,0.4,1,0,0,7,Computer
P10-s7,P10-s21,10,7,21,0,1,1,2,0,1,1,0,0,0.4,0.4,2,0,0,7,Computer
P10-s8,P10-s19,10,8,19,0,1,1,2,0,1,1,1,1,0.4,0.4,2,1,0,7,Computer
P10-s9,P10-s17,10,9,17,0,1,1,2,0,2,2,1,0,0.8,0.2,1,1,0,7,Computer
P10-s10,P10-s12,10,10,12,0,1,0,2,0,2,1,0,1,0.4,0.4,2,1,0,7,Computer
P10-s11,P10-s14,10,11,14,0,0,0,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P10-s12,P10-s10,10,12,10,1,1,0,0,2,1,2,0,1,0,0,0,0,1,7,Computer
P10-s13,P10-s3,10,13,3,1,1,0,0,2,1,2,0,0,0,0,0,0,1,7,Computer
P10-s14,P10-s11,10,14,11,1,0,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P10-s15,P10-s1,10,15,1,1,0,0,0,2,1,2,0,1,0,0,0,0,0,7,Computer
P10-s16,P10-s4,10,16,4,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P10-s17,P10-s9,10,17,9,1,0,1,0,2,2,2,1,1,0,0,0,0,1,7,Computer
P10-s18,P10-s5,10,18,5,1,1,1,0,2,1,1,0,1,0,0,0,0,1,7,Computer
P10-s19,P10-s8,10,19,8,1,1,1,0,2,1,1,1,1,0,0,0,0,1,7,Computer
P10-s20,P10-s6,10,20,6,1,0,0,0,2,1,1,0,0,0,0,0,0,0,7,Computer
P10-s21,P10-s7,10,21,7,1,0,0,0,2,1,1,1,1,0,0,0,0,0,7,Computer
P10-s22,P10-s2,10,22,2,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P11-s1,P11-s16,11,1,16,1,0,0,0,2,1,2,1,1,0,0,0,0,0,7,Computer
P11-s2,P11-s17,11,2,17,1,0,1,0,1,2,2,1,1,0,0,0,0,0,7,Computer
P11-s3,P11-s21,11,3,21,1,1,1,0,1,2,2,0,0,0,0,0,0,1,7,Computer
P11-s4,P11-s13,11,4,13,1,1,1,0,1,2,2,1,1,0,0,0,0,1,7,Computer
P11-s5,P11-s15,11,5,15,1,0,0,0,2,2,2,0,1,0,0,0,0,0,7,Computer
P11-s6,P11-s22,11,6,22,1,1,0,0,2,1,2,0,0,0,0,0,0,0,7,Computer
P11-s7,P11-s20,11,7,20,1,0,0,0,2,1,1,0,0,0,0,0,0,0,7,Computer
P11-s8,P11-s18,11,8,18,1,0,0,0,2,2,2,0,0,0,0,0,0,0,7,Computer
P11-s9,P11-s12,11,9,12,1,0,0,0,2,2,1,1,1,0,0,0,0,0,7,Computer
P11-s10,P11-s14,11,10,14,1,0,0,0,2,2,1,0,1,0,0,0,0,0,7,Computer
P11-s11,P11-s19,11,11,19,1,0,0,0,2,2,1,0,0,0,0,0,0,0,7,Computer
P11-s12,P11-s9,11,12,9,0,1,1,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P11-s13,P11-s4,11,13,4,0,1,1,1,0,2,2,1,1,0.2,0.3,3,1,0,7,Computer
P11-s14,P11-s10,11,14,10,0,1,0,2,0,1,2,0,0,0.8,0.2,2,0,0,7,Computer
P11-s15,P11-s5,11,15,5,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P11-s16,P11-s1,11,16,1,0,1,1,2,0,2,1,0,0,0.4,0.4,1,0,0,7,Computer
P11-s17,P11-s2,11,17,2,0,1,1,1,0,2,2,1,0,0.2,0.3,3,0,0,7,Computer
P11-s18,P11-s8,11,18,8,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P11-s19,P11-s11,11,19,11,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0,7,Computer
P11-s20,P11-s7,11,20,7,0,0,0,2,0,1,1,0,0,0.4,0.4,2,0,0,7,Computer
P11-s21,P11-s3,11,21,3,0,0,0,1,0,2,2,1,1,0.2,0.3,2,1,0,7,Computer
P11-s22,P11-s6,11,22,6,0,0,0,2,0,2,1,0,1,0.4,0.4,1,0,0,7,Computer
P12-s1,P12-s17,12,1,17,0,0,0,2,0,1,2,0,0,0.8,0.2,1,1,0,7,Computer
P12-s2,P12-s19,12,2,19,0,1,1,1,0,2,1,1,1,0.1,0.2,3,1,0,7,Computer
P12-s3,P12-s20,12,3,20,0,1,0,1,0,1,1,0,0,0.1,0.2,2,0,0,7,Computer
P12-s4,P12-s13,12,4,13,0,0,0,2,0,1,1,1,1,0.4,0.4,1,1,0,7,Computer
P12-s5,P12-s14,12,5,14,0,0,0,2,0,2,1,0,1,0.4,0.4,1,0,0,7,Computer
P12-s6,P12-s22,12,6,22,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0,7,Computer
P12-s7,P12-s15,12,7,15,0,0,0,2,0,1,2,0,0,0.8,0.2,1,1,0,7,Computer
P12-s8,P12-s18,12,8,18,0,0,0,2,0,1,2,0,1,0.8,0.2,1,0,0,7,Computer
P12-s9,P12-s21,12,9,21,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P12-s10,P12-s12,12,10,12,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0,7,Computer
P12-s11,P12-s16,12,11,16,0,0,0,2,0,2,2,1,1,0.8,0.2,1,1,0,7,Computer
