Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention
P2-s14,P2-s6,2,14,6,1,0,0,0,1,1,1,0,0,0,0,0,0,0
P2-s15,P2-s3,2,15,3,1,1,0,0,2,2,1,0,1,0,0,0,0,1
P2-s16,P2-s2,2,16,2,1,1,0,0,2,2,2,0,0,0,0,0,0,0
P2-s17,P2-s1,2,17,1,1,1,0,0,2,2,2,0,1,0,0,0,0,0
P2-s18,P2-s9,2,18,9,1,0,0,0,2,1,1,1,1,0,0,0,0,0
P3-s1,P3-s11,3,1,11,1,0,1,0,2,2,2,0,0,0,0,0,0,1
P3-s2,P3-s17,3,2,17,1,0,0,0,2,1,2,1,1,0,0,0,0,1
P3-s3,P3-s16,3,3,16,1,1,1,0,2,1,2,0,1,0,0,0,0,1
P3-s4,P3-s15,3,4,15,1,0,0,0,2,1,1,0,0,0,0,0,0,0
P3-s5,P3-s10,3,5,10,1,0,1,0,1,1,2,0,0,0,0,0,0,0
P3-s6,P3-s18,3,6,18,1,0,0,0,2,2,2,0,0,0,0,0,0,0
P3-s7,P3-s13,3,7,13,1,1,0,0,2,1,2,0,0,0,0,0,0,1
P3-s8,P3-s12,3,8,12,1,1,0,0,2,2,2,0,0,0,0,0,0,0
P3-s9,P3-s14,3,9,14,1,0,0,0,2,2,2,0,0,0,0,0,0,0
P3-s10,P3-s5,3,10,5,0,0,0,1,0,2,1,1,0,0.1,0.2,3,0,0
P3-s11,P3-s1,3,11,1,0,0,0,2,0,2,2,1,0,0.8,0.2,1,1,0
P3-s12,P3-s8,3,12,8,0,0,0,2,0,2,2,0,1,0.8,0.2,1,0,0
P3-s13,P3-s7,3,13,7,0,0,0,2,0,2,1,0,1,0.4,0.4,2,1,0
P3-s14,P3-s9,3,14,9,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P3-s15,P3-s4,3,15,4,0,0,0,2,0,1,1,0,0,0.4,0.4,1,0,0
P3-s16,P3-s3,3,16,3,0,1,0,2,0,2,1,1,1,0.4,0.4,1,1,0
P3-s17,P3-s2,3,17,2,0,1,1,2,0,2,1,0,0,0.4,0.4,3,1,0
P3-s18,P3-s6,3,18,6,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P4-s1,P4-s15,4,1,15,0,1,0,2,0,2,1,0,0,0.4,0.4,3,0,0
P4-s2,P4-s10,4,2,10,0,1,1,2,0,2,1,0,0,0.4,0.4,2,0,0
P4-s3,P4-s12,4,3,12,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P4-s4,P4-s17,4,4,17,0,0,0,2,0,2,1,0,0,0.4,0.4,1,0,0
P4-s5,P4-s14,4,5,14,0,1,0,1,0,2,1,0,0,0.1,0.2,3,1,0
P4-s6,P4-s11,4,6,11,0,0,0,1,0,1,1,1,1,0.1,0.2,3,1,0
P4-s7,P4-s16,4,7,16,0,0,0,1,0,1,2,0,0,0.2,0.3,3,1,0
P4-s8,P4-s18,4,8,18,0,0,0,1,0,2,1,0,1,0.1,0.2,2,1,0
P4-s9,P4-s13,4,9,13,0,1,1,1,0,2,1,1,1,0.1,0.2,3,1,0
P4-s10,P4-s2,4,10,2,1,0,0,0,2,1,2,1,1,0,0,0,0,0
P4-s11,P4-s6,4,11,6,1,1,1,0,1,1,1,0,0,0,0,0,0,1
P4-s12,P4-s3,4,12,3,1,0,0,0,2,2,2,0,1,0,0,0,0,0
P4-s13,P4-s9,4,13,9,1,1,1,0,1,1,2,1,1,0,0,0,0,1
P4-s14,P4-s5,4,14,5,1,0,0,0,1,1,2,0,1,0,0,0,0,1
P4-s15,P4-s1,4,15,1,1,0,0,0,2,1,2,0,1,0,0,0,0,0
P4-s16,P4-s7,4,16,7,1,0,0,0,1,2,1,0,0,0,0,0,0,1
P4-s17,P4-s4,4,17,4,1,0,0,0,2,1,2,0,0,0,0,0,0,0
P4-s18,P4-s8,4,18,8,1,1,0,0,1,1,2,0,0,0,0,0,0,1
P5-s1,P5-s16,5,1,16,1,0,0,0,2,2,2,0,0,0,0,0,0,0
P5-s2,P5-s10,5,2,10,1,0,0,0,2,1,1,0,0,0,0,0,0,0
P5-s3,P5-s17,5,3,17,1,0,0,0,2,1,1,0,0,0,0,0,0,0
P5-s4,P5-s14,5,4,14,1,1,0,0,2,1,2,0,1,0,0,0,0,0
P5-s5,P5-s11,5,5,11,1,1,1,0,2,1,2,1,1,0,0,0,0,0
P5-s6,P5-s15,5,6,15,1,1,1,0,1,1,1,0,1,0,0,0,0,1
P5-s7,P5-s18,5,7,18,1,0,0,0,2,2,1,1,1,0,0,0,0,0
P5-s8,P5-s12,5,8,12,1,0,1,0,1,2,1,1,1,0,0,0,0,1
P5-s9,P5-s13,5,9,13,1,0,0,0,2,1,2,1,1,0,0,0,0,0
P5-s10,P5-s2,5,10,2,0,0,0,2,0,1,1,0,0,0.4,0.4,1,0,0
P5-s11,P5-s5,5,11,5,0,1,1,2,0,2,1,1,1,0.4,0.4,3,0,0
P5-s12,P5-s8,5,12,8,0,1,1,1,0,1,2,1,0,0.2,0.3,3,1,0
P5-s13,P5-s9,5,13,9,0,1,1,2,0,2,1,0,0,0.4,0.4,2,0,0
P5-s14,P5-s4,5,14,4,0,1,0,2,0,2,1,0,1,0.4,0.4,1,0,0
P5-s15,P5-s6,5,15,6,0,1,0,1,0,1,1,1,1,0.1,0.2,3,1,0
P5-s16,P5-s1,5,16,1,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P5-s17,P5-s3,5,17,3,0,0,0,2,0,1,1,0,0,0.4,0.4,1,0,0
P5-s18,P5-s7,5,18,7,0,1,1,2,0,1,2,0,0,0.8,0.2,2,0,0
P6-s1,P6-s14,6,1,14,0,0,0,2,0,1,1,1,1,0.4,0.4,3,1,0
P6-s2,P6-s10,6,2,10,0,0,0,2,0,2,2,0,1,0.8,0.2,1,0,0
P6-s3,P6-s18,6,3,18,0,0,0,2,0,2,2,0,1,0.8,0.2,1,1,0
P6-s4,P6-s15,6,4,15,0,1,0,2,0,2,2,0,1,0.8,0.2,1,0,0
P6-s5,P6-s11,6,5,11,0,0,0,1,0,1,2,0,0,0.2,0.3,2,0,0
P6-s6,P6-s16,6,6,16,0,0,0,2,0,1,1,1,1,0.4,0.4,2,1,0
P6-s7,P6-s17,6,7,17,0,1,0,2,0,2,1,0,1,0.4,0.4,3,1,0
P6-s8,P6-s12,6,8,12,0,1,0,2,0,2,2,0,1,0.8,0.2,2,1,0
P6-s9,P6-s13,6,9,13,0,1,1,1,0,1,1,1,1,0.1,0.2,2,1,0
P6-s10,P6-s2,6,10,2,1,1,0,0,2,2,2,0,0,0,0,0,0,0
P6-s11,P6-s5,6,11,5,1,0,0,0,1,2,1,0,0,0,0,0,0,0
P6-s12,P6-s8,6,12,8,1,1,0,0,2,2,2,0,1,0,0,0,0,1
P6-s13,P6-s9,6,13,9,1,1,1,0,1,1,1,1,1,0,0,0,0,1
P6-s14,P6-s1,6,14,1,1,1,1,0,2,1,1,0,0,0,0,0,0,1
P6-s15,P6-s4,6,15,4,1,1,0,0,2,2,2,0,1,0,0,0,0,0
P6-s16,P6-s6,6,16,6,1,1,1,0,2,1,1,0,0,0,0,0,0,1
P6-s17,P6-s7,6,17,7,1,1,0,0,2,1,2,0,1,0,0,0,0,1
P6-s18,P6-s3,6,18,3,1,1,0,0,2,2,2,0,0,0,0,0,0,1
P7-s1,P7-s16,7,1,16,1,1,0,0,2,1,2,1,1,0,0,0,0,1
P7-s2,P7-s12,7,2,12,1,0,0,0,2,2,2,0,0,0,0,0,0,0
P7-s3,P7-s10,7,3,10,1,1,1,0,2,1,2,0,1,0,0,0,0,1
P7-s4,P7-s13,7,4,13,1,0,0,0,1,1,1,0,1,0,0,0,0,1
P7-s5,P7-s11,7,5,11,1,0,1,0,2,2,1,1,1,0,0,0,0,1
P7-s6,P7-s14,7,6,14,1,1,0,0,2,2,1,0,1,0,0,0,0,0
P7-s7,P7-s18,7,7,18,1,0,0,0,2,2,2,0,0,0,0,0,0,0
P7-s8,P7-s17,7,8,17,1,0,0,0,2,1,2,1,1,0,0,0,0,0
P7-s9,P7-s15,7,9,15,1,0,0,0,1,2,1,0,1,0,0,0,0,1
P7-s10,P7-s3,7,10,3,0,1,0,2,0,2,1,1,1,0.4,0.4,2,1,0
P7-s11,P7-s5,7,11,5,0,1,1,2,0,1,2,1,0,0.8,0.2,1,1,0
P7-s12,P7-s2,7,12,2,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P7-s13,P7-s4,7,13,4,0,1,0,1,0,1,1,0,0,0.1,0.2,3,1,0
P7-s14,P7-s6,7,14,6,0,1,0,2,0,1,2,0,1,0.8,0.2,1,0,0
P7-s15,P7-s9,7,15,9,0,1,0,1,0,1,2,0,0,0.2,0.3,3,1,0
P7-s16,P7-s1,7,16,1,0,1,1,2,0,2,1,0,1,0.4,0.4,2,1,0
P7-s17,P7-s8,7,17,8,0,1,1,2,0,2,1,0,0,0.4,0.4,3,0,0
P7-s18,P7-s7,7,18,7,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P8-s1,P8-s18,8,1,18,0,1,0,2,0,2,1,0,0,0.4,0.4,1,0,0
P8-s2,P8-s11,8,2,11,0,1,1,2,0,1,2,0,0,0.8,0.2,1,0,0
P8-s3,P8-s13,8,3,13,0,1,0,1,0,2,2,0,1,0.2,0.3,3,1,0
P8-s4,P8-s15,8,4,15,0,1,0,2,0,1,2,0,1,0.8,0.2,1,0,0
P8-s5,P8-s16,8,5,16,0,0,0,1,0,1,1,1,1,0.1,0.2,3,1,0
P8-s6,P8-s10,8,6,10,0,0,0,1,0,1,2,0,0,0.2,0.3,3,1,0
P8-s7,P8-s14,8,7,14,0,1,0,2,0,2,1,0,0,0.4,0.4,1,0,0
P8-s8,P8-s17,8,8,17,0,1,0,2,0,2,2,1,1,0.8,0.2,2,0,0
P8-s9,P8-s12,8,9,12,0,0,0,1,0,2,2,0,0,0.2,0.3,1,0,0
P8-s10,P8-s6,8,10,6,1,0,0,0,1,2,1,0,0,0,0,0,0,1
P8-s11,P8-s2,8,11,2,1,0,0,0,2,2,1,1,1,0,0,0,0,0
P8-s12,P8-s9,8,12,9,1,0,0,0,1,2,2,0,0,0,0,0,0,0
P8-s13,P8-s3,8,13,3,1,1,0,0,1,2,2,0,1,0,0,0,0,1
P8-s14,P8-s7,8,14,7,1,0,0,0,2,1,2,0,1,0,0,0,0,0
P8-s15,P8-s4,8,15,4,1,1,0,0,2,2,1,0,1,0,0,0,0,0
P8-s16,P8-s5,8,16,5,1,1,1,0,1,1,1,0,0,0,0,0,0,1
P8-s17,P8-s8,8,17,8,1,1,1,0,2,2,2,0,1,0,0,0,0,0
P8-s18,P8-s1,8,18,1,1,0,0,0,2,1,2,0,1,0,0,0,0,0
P9-s1,P9-s11,9,1,11,1,0,0,0,2,2,1,0,0,0,0,0,0,0
P9-s2,P9-s14,9,2,14,1,0,0,0,2,2,2,0,0,0,0,0,0,1
P9-s3,P9-s18,9,3,18,1,1,1,0,2,2,2,1,1,0,0,0,0,1
P9-s4,P9-s15,9,4,15,1,0,0,0,2,1,1,0,0,0,0,0,0,0
P9-s5,P9-s17,9,5,17,1,0,0,0,2,2,1,0,0,0,0,0,0,0
P9-s6,P9-s16,9,6,16,1,1,0,0,2,2,2,0,0,0,0,0,0,0
P9-s7,P9-s12,9,7,12,1,0,0,0,1,2,2,0,0,0,0,0,0,0
P9-s8,P9-s13,9,8,13,1,0,0,0,1,1,1,1,1,0,0,0,0,1
P9-s9,P9-s10,9,9,10,1,0,0,0,2,1,2,0,0,0,0,0,0,1
P9-s10,P9-s9,9,10,9,0,0,0,2,0,2,1,0,0,0.4,0.4,2,1,0
P9-s11,P9-s1,9,11,1,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0
P9-s12,P9-s7,9,12,7,0,0,0,1,0,2,2,0,0,0.2,0.3,3,0,0
P9-s13,P9-s8,9,13,8,0,1,1,1,0,1,1,0,0,0.1,0.2,3,1,0
P9-s14,P9-s2,9,14,2,0,0,0,2,0,2,2,0,0,0.8,0.2,1,1,0
P9-s15,P9-s4,9,15,4,0,0,0,2,0,1,1,0,0,0.4,0.4,1,0,0
P9-s16,P9-s6,9,16,6,0,0,0,2,0,2,2,0,1,0.8,0.2,1,0,0
P9-s17,P9-s5,9,17,5,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0
P9-s18,P9-s3,9,18,3,0,1,1,2,0,2,2,1,1,0.8,0.2,2,1,0
P10-s1,P10-s17,10,1,17,0,1,1,2,0,2,2,0,0,0.8,0.2,1,0,0
P10-s2,P10-s13,10,2,13,0,1,1,2,0,2,2,0,0,0.8,0.2,1,0,0
P10-s3,P10-s11,10,3,11,0,1,1,2,0,1,2,0,0,0.8,0.2,2,1,0
P10-s4,P10-s10,10,4,10,0,1,0,2,0,2,1,0,1,0.4,0.4,1,0,0
P10-s5,P10-s18,10,5,18,0,1,1,1,0,2,2,0,1,0.2,0.3,3,1,0
P10-s6,P10-s15,10,6,15,0,0,0,1,0,1,2,0,0,0.2,0.3,1,0,0
P10-s7,P10-s12,10,7,12,0,1,1,2,0,2,1,0,0,0.4,0.4,1,0,0
P10-s8,P10-s16,10,8,16,0,0,0,1,0,1,2,0,0,0.2,0.3,3,1,0
P10-s9,P10-s14,10,9,14,0,1,0,1,0,1,2,0,0,0.2,0.3,3,1,0
P10-s10,P10-s4,10,10,4,1,1,0,0,2,1,2,0,1,0,0,0,0,0
P10-s11,P10-s3,10,11,3,1,0,0,0,2,2,1,1,1,0,0,0,0,1
P10-s12,P10-s7,10,12,7,1,0,0,0,2,1,2,1,1,0,0,0,0,0
P10-s13,P10-s2,10,13,2,1,0,0,0,2,2,2,1,1,0,0,0,0,0
P10-s14,P10-s9,10,14,9,1,0,0,0,1,2,1,0,1,0,0,0,0,1
P10-s15,P10-s6,10,15,6,1,0,0,0,1,2,1,0,0,0,0,0,0,0
P10-s16,P10-s8,10,16,8,1,0,0,0,1,2,1,0,0,0,0,0,0,1
P10-s17,P10-s1,10,17,1,1,0,0,0,2,2,2,1,1,0,0,0,0,0
P10-s18,P10-s5,10,18,5,1,1,0,0,1,2,2,1,1,0,0,0,0,1
P11-s1,P11-s16,11,1,16,1,1,0,0,2,1,2,0,0,0,0,0,0,1
P11-s2,P11-s15,11,2,15,1,0,0,0,2,2,1,0,0,0,0,0,0,0
P11-s3,P11-s14,11,3,14,1,0,1,0,2,1,1,0,0,0,0,0,0,1
P11-s4,P11-s12,11,4,12,1,1,0,0,2,1,2,0,1,0,0,0,0,1
P11-s5,P11-s17,11,5,17,1,1,1,0,2,2,1,0,0,0,0,0,0,1
P11-s6,P11-s11,11,6,11,1,0,0,0,2,2,1,0,1,0,0,0,0,0
P11-s7,P11-s13,11,7,13,1,1,1,0,1,2,1,0,0,0,0,0,0,1
P11-s8,P11-s10,11,8,10,1,0,0,0,2,1,1,1,1,0,0,0,0,1
P11-s9,P11-s18,11,9,18,1,0,0,0,2,2,1,0,0,0,0,0,0,0
P11-s10,P11-s8,11,10,8,0,1,1,2,0,1,1,0,0,0.4,0.4,2,1,0
P11-s11,P11-s6,11,11,6,0,1,0,2,0,1,2,0,0,0.8,0.2,1,0,0
P11-s12,P11-s4,11,12,4,0,1,0,2,0,2,1,0,1,0.4,0.4,2,1,0
P11-s13,P11-s7,11,13,7,0,0,0,1,0,1,2,1,1,0.2,0.3,2,1,0
P11-s14,P11-s3,11,14,3,0,0,0,2,0,1,1,1,0,0.4,0.4,3,1,0
P11-s15,P11-s2,11,15,2,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0
P11-s16,P11-s1,11,16,1,0,0,0,2,0,2,1,0,1,0.4,0.4,2,1,0
P11-s17,P11-s5,11,17,5,0,0,0,2,0,1,2,1,1,0.8,0.2,1,1,0
P11-s18,P11-s9,11,18,9,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0
P12-s1,P12-s17,12,1,17,0,0,0,2,0,1,1,0,0,0.4,0.4,3,1,0
P12-s2,P12-s13,12,2,13,0,1,0,2,0,2,2,1,0,0.8,0.2,1,1,0
P12-s3,P12-s18,12,3,18,0,0,0,2,0,2,2,1,1,0.8,0.2,2,1,0
P12-s4,P12-s12,12,4,12,0,0,0,2,0,1,1,0,0,0.4,0.4,2,0,0
P12-s5,P12-s16,12,5,16,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P12-s6,P12-s11,12,6,11,0,0,0,2,0,1,2,0,0,0.8,0.2,1,0,0
P12-s7,P12-s10,12,7,10,0,0,0,2,0,1,2,0,1,0.8,0.2,1,0,0
P12-s8,P12-s14,12,8,14,0,0,0,1,0,2,2,0,0,0.2,0.3,3,0,0
P12-s9,P12-s15,12,9,15,0,0,0,2,0,2,1,1,1,0.4,0.4,1,1,0
P12-s10,P12-s7,12,10,7,1,1,0,0,2,2,1,0,0,0,0,0,0,0
P12-s11,P12-s6,12,11,6,1,0,0,0,2,2,1,0,0,0,0,0,0,0
P12-s12,P12-s4,12,12,4,1,0,0,0,2,1,1,0,0,0,0,0,0,0
P12-s13,P12-s2,12,13,2,1,0,1,0,2,2,2,0,1,0,0,0,0,1
P12-s14,P12-s8,12,14,8,1,0,0,0,1,2,2,0,0,0,0,0,0,0
P12-s15,P12-s9,12,15,9,1,1,1,0,2,1,2,0,0,0,0,0,0,1
P12-s16,P12-s5,12,16,5,1,0,0,0,2,2,2,0,0,0,0,0,0,0
P12-s17,P12-s1,12,17,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1
P12-s18,P12-s3,12,18,3,1,1,1,0,2,2,2,0,0,0,0,0,0,1
P13-s1,P13-s10,13,1,10,1,1,1,0,2,1,1,0,0,0,0,0,0,0
P13-s2,P13-s17,13,2,17,1,1,1,0,2,2,2,1,1,0,0,0,0,1
P13-s3,P13-s16,13,3,16,1,0,0,0,2,2,2,0,1,0,0,0,0,0
P13-s4,P13-s15,13,4,15,1,1,0,0,2,2,1,0,0,0,0,0,0,0
P13-s5,P13-s11,13,5,11,1,1,0,0,2,1,1,0,0,0,0,0,0,0
P13-s6,P13-s13,13,6,13,1,1,0,0,1,1,2,1,1,0,0,0,0,0
P13-s7,P13-s12,13,7,12,1,0,0,0,2,1,1,0,0,0,0,0,0,0
P13-s8,P13-s14,13,8,14,1,0,0,0,2,1,2,1,1,0,0,0,0,0
P13-s9,P13-s18,13,9,18,1,1,0,0,2,2,2,0,1,0,0,0,0,0
P13-s10,P13-s1,13,10,1,0,0,0,2,0,1,1,1,1,0.4,0.4,3,0,0
P13-s11,P13-s5,13,11,5,0,0,0,2,0,1,1,0,1,0.4,0.4,1,0,0
P13-s12,P13-s7,13,12,7,0,0,0,2,0,1,1,0,0,0.4,0.4,2,0,0
P13-s13,P13-s6,13,13,6,0,1,1,1,0,2,1,0,1,0.1,0.2,3,0,0
P13-s14,P13-s8,13,14,8,0,1,1,2,0,2,1,0,0,0.4,0.4,2,0,0
P13-s15,P13-s4,13,15,4,0,0,0,2,0,1,2,0,1,0.8,0.2,1,0,0
P13-s16,P13-s3,13,16,3,0,1,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P13-s17,P13-s2,13,17,2,0,1,1,2,0,2,2,1,1,0.8,0.2,1,1,0
P13-s18,P13-s9,13,18,9,0,1,0,2,0,2,2,0,1,0.8,0.2,1,0,0
P14-s1,P14-s12,14,1,12,0,1,0,2,0,2,1,0,0,0.4,0.4,1,0,0
P14-s2,P14-s14,14,2,14,0,0,0,2,0,1,1,0,0,0.4,0.4,2,0,0
P14-s3,P14-s10,14,3,10,0,0,0,2,0,2,1,0,1,0.4,0.4,1,0,0
P14-s4,P14-s11,14,4,11,0,1,0,2,0,2,2,0,1,0.8,0.2,2,1,0
P14-s5,P14-s16,14,5,16,0,0,0,1,0,2,2,0,0,0.2,0.3,1,0,0
P14-s6,P14-s15,14,6,15,0,1,1,2,0,2,1,1,1,0.4,0.4,3,1,0
P14-s7,P14-s18,14,7,18,0,1,1,2,0,2,1,0,0,0.4,0.4,2,0,0
P14-s8,P14-s13,14,8,13,0,0,0,2,0,1,1,0,1,0.4,0.4,2,1,0
P14-s9,P14-s17,14,9,17,0,0,0,1,0,1,1,0,0,0.1,0.2,3,0,0
P14-s10,P14-s3,14,10,3,1,1,0,0,2,1,2,0,0,0,0,0,0,0
P14-s11,P14-s4,14,11,4,1,1,0,0,2,2,2,0,1,0,0,0,0,1
P14-s12,P14-s1,14,12,1,1,0,0,0,2,1,2,0,1,0,0,0,0,0
P14-s13,P14-s8,14,13,8,1,1,0,0,2,1,1,0,0,0,0,0,0,1
P14-s14,P14-s2,14,14,2,1,0,0,0,2,1,1,0,0,0,0,0,0,0
P14-s15,P14-s6,14,15,6,1,1,1,0,2,1,2,1,1,0,0,0,0,1
P14-s16,P14-s5,14,16,5,1,0,0,0,1,2,2,0,0,0,0,0,0,0
P14-s17,P14-s9,14,17,9,1,0,0,0,1,1,1,0,0,0,0,0,0,0
P14-s18,P14-s7,14,18,7,1,0,0,0,2,1,2,1,1,0,0,0,0,0
P15-s1,P15-s16,15,1,16,1,1,1,0,2,1,1,0,0,0,0,0,0,1
P15-s2,P15-s10,15,2,10,1,0,0,0,1,1,1,1,1,0,0,0,0,1
P15-s3,P15-s12,15,3,12,1,0,0,0,2,2,1,0,1,0,0,0,0,0
P15-s4,P15-s18,15,4,18,1,0,0,0,2,2,2,0,1,0,0,0,0,0
P15-s5,P15-s14,15,5,14,1,0,0,0,2,2,2,1,1,0,0,0,0,0
P15-s6,P15-s15,15,6,15,1,1,1,0,2,1,1,0,1,0,0,0,0,1
P15-s7,P15-s11,15,7,11,1,0,0,0,2,2,2,0,0,0,0,0,0,0
P15-s8,P15-s13,15,8,13,1,0,0,0,2,2,1,1,1,0,0,0,0,0
P15-s9,P15-s17,15,9,17,1,1,1,0,2,2,2,0,0,0,0,0,0,1
P15-s10,P15-s2,15,10,2,0,1,1,1,0,1,1,0,0,0.1,0.2,2,1,0
P15-s11,P15-s7,15,11,7,0,0,0,2,0,2,2,0,0,0.8,0.2,1,0,0
P15-s12,P15-s3,15,12,3,0,1,0,2,0,1,2,0,0,0.8,0.2,1,0,0
P15-s13,P15-s8,15,13,8,0,1,1,2,0,1,2,0,0,0.8,0.2,1,0,0
P15-s14,P15-s5,15,14,5,0,1,1,2,0,2,2,0,0,0.8,0.2,2,0,0
P15-s15,P15-s6,15,15,6,0,1,0,2,0,1,1,1,1,0.4,0.4,2,1,0
P15-s16,P15-s1,15,16,1,0,0,0,2,0,1,1,1,1,0.4,0.4,1,1,0
P15-s17,P15-s9,15,17,9,0,0,0,2,0,2,2,1,1,0.8,0.2,1,1,0
P15-s18,P15-s4,15,18,4,0,1,0,2,0,2,2,0,0,0.8,0.2,2,0,0
P16-s1,P16-s14,16,1,14,0,0,0,2,0,2,1,0,0,0.4,0.4,3,1,0
P16-s2,P16-s11,16,2,11,0,0,0,2,0,1,2,0,0,0.8,0.2,2,0,0
P16-s3,P16-s10,16,3,10,0,0,0,2,0,1,1,0,0,0.4,0.4,3,1,0
P16-s4,P16-s15,16,4,15,0,1,1,1,0,1,1,1,1,0.1,0.2,3,1,0
P16-s5,P16-s13,16,5,13,0,0,0,1,0,2,1,1,1,0.1,0.2,3,1,0
P16-s6,P16-s17,16,6,17,0,1,0,1,0,1,2,1,1,0.2,0.3,2,1,0
P16-s7,P16-s16,16,7,16,0,0,0,1,0,2,1,1,1,0.1,0.2,3,1,0
P16-s8,P16-s12,16,8,12,0,0,0,2,0,2,2,1,1,0.8,0.2,1,1,0
P16-s9,P16-s18,16,9,18,0,1,1,2,0,2,2,1,1,0.8,0.2,1,0,0
P16-s10,P16-s3,16,10,3,1,0,0,0,2,1,1,0,0,0,0,0,0,1
P16-s11,P16-s2,16,11,2,1,0,0,0,2,2,1,0,0,0,0,0,0,0
P16-s12,P16-s8,16,12,8,1,1,1,0,2,2,2,0,0,0,0,0,0,1
P16-s13,P16-s5,16,13,5,1,1,1,0,1,1,2,0,0,0,0,0,0,1
P16-s14,P16-s1,16,14,1,1,0,0,0,2,1,2,0,0,0,0,0,0,1
P16-s15,P16-s4,16,15,4,1,1,1,0,1,1,1,1,1,0,0,0,0,1
P16-s16,P16-s7,16,16,7,1,1,1,0,1,1,2,0,0,0,0,0,0,1
P16-s17,P16-s6,16,17,6,1,1,1,0,1,2,1,0,1,0,0,0,0,1
P16-s18,P16-s9,16,18,9,1,1,1,0,2,2,2,1,1,0,0,0,0,0
