Persubj,Perpart,Period,Subject,MyPartner,Agent,Theta,Applet,Inv,InvOther,Disclose,DiscOther,TypeOther,ThetaOther,ProbType,ProbBarrel,Outcome,Retain,myRetention
P7-s14,P7-s6,7,14,6,0,0,0,1,0,0,1,0,0,0.1,0.2,3,0,0
P7-s15,P7-s8,7,15,8,0,1,0,1,0,0,2,0,1,0.2,0.3,1,0,0
P7-s16,P7-s3,7,16,3,0,0,0,2,0,0,1,0,0,0.4,0.4,3,1,0
P8-s1,P8-s9,8,1,9,0,1,1,2,0,0,2,1,1,0.8,0.2,2,1,0
P8-s2,P8-s10,8,2,10,0,1,1,1,0,0,1,0,0,0.1,0.2,1,1,0
P8-s3,P8-s14,8,3,14,0,0,0,1,0,0,2,0,1,0.2,0.3,1,0,0
P8-s4,P8-s16,8,4,16,0,0,0,2,0,0,2,0,1,0.8,0.2,1,0,0
P8-s5,P8-s15,8,5,15,0,1,0,2,0,0,1,0,0,0.4,0.4,3,0,0
P8-s6,P8-s13,8,6,13,0,1,1,2,0,0,2,1,1,0.8,0.2,1,1,0
P8-s7,P8-s12,8,7,12,0,1,1,2,0,0,1,0,0,0.4,0.4,3,0,0
P8-s8,P8-s11,8,8,11,0,1,1,2,0,0,1,0,0,0.4,0.4,2,0,0
P8-s9,P8-s1,8,9,1,1,1,1,0,2,2,0,1,1,0,0,0,0,1
P8-s10,P8-s2,8,10,2,1,0,0,0,1,1,0,1,1,0,0,0,0,1
P8-s11,P8-s8,8,11,8,1,0,0,0,2,1,0,1,1,0,0,0,0,0
P8-s12,P8-s7,8,12,7,1,0,0,0,2,1,0,1,1,0,0,0,0,0
P8-s13,P8-s6,8,13,6,1,1,1,0,2,2,0,1,1,0,0,0,0,1
P8-s14,P8-s3,8,14,3,1,1,0,0,1,2,0,0,0,0,0,0,0,0
P8-s15,P8-s5,8,15,5,1,0,0,0,2,1,0,0,1,0,0,0,0,0
P8-s16,P8-s4,8,16,4,1,1,0,0,2,2,0,0,0,0,0,0,0,0
P9-s1,P9-s16,9,1,16,1,1,0,0,2,1,0,0,1,0,0,0,0,0
P9-s2,P9-s12,9,2,12,1,0,0,0,2,2,0,0,0,0,0,0,0,0
P9-s3,P9-s13,9,3,13,1,1,0,0,2,2,0,0,1,0,0,0,0,1
P9-s4,P9-s14,9,4,14,1,1,0,0,2,1,0,0,1,0,0,0,0,0
P9-s5,P9-s11,9,5,11,1,1,0,0,2,1,0,0,0,0,0,0,0,0
P9-s6,P9-s9,9,6,9,1,1,1,0,1,2,0,0,1,0,0,0,0,0
P9-s7,P9-s15,9,7,15,1,1,0,0,1,2,0,0,0,0,0,0,0,1
P9-s8,P9-s10,9,8,10,1,0,0,0,1,1,0,0,0,0,0,0,0,0
P9-s9,P9-s6,9,9,6,0,1,0,1,0,0,2,1,1,0.2,0.3,3,0,0
P9-s10,P9-s8,9,10,8,0,0,0,1,0,0,1,0,0,0.1,0.2,3,0,0
P9-s11,P9-s5,9,11,5,0,0,0,2,0,0,1,0,1,0.4,0.4,1,0,0
P9-s12,P9-s2,9,12,2,0,0,0,2,0,0,2,0,0,0.8,0.2,1,0,0
P9-s13,P9-s3,9,13,3,0,1,0,2,0,0,2,0,1,0.8,0.2,2,1,0
P9-s14,P9-s4,9,14,4,0,1,0,2,0,0,1,0,1,0.4,0.4,1,0,0
P9-s15,P9-s7,9,15,7,0,0,0,1,0,0,2,0,1,0.2,0.3,2,1,0
P9-s16,P9-s1,9,16,1,0,1,0,2,0,0,1,0,1,0.4,0.4,2,0,0
P10-s1,P10-s10,10,1,10,0,0,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P10-s2,P10-s13,10,2,13,0,1,1,2,0,0,2,1,1,0.8,0.2,1,1,0
P10-s3,P10-s9,10,3,9,0,1,1,1,0,0,2,0,1,0.2,0.3,1,0,0
P10-s4,P10-s15,10,4,15,0,0,0,2,0,0,1,0,0,0.4,0.4,2,0,0
P10-s5,P10-s14,10,5,14,0,1,1,2,0,0,2,1,1,0.8,0.2,1,1,0
P10-s6,P10-s11,10,6,11,0,0,1,2,0,0,2,1,1,0.8,0.2,2,0,0
P10-s7,P10-s16,10,7,16,0,1,1,2,0,0,2,0,1,0.8,0.2,2,1,0
P10-s8,P10-s12,10,8,12,0,1,1,2,0,0,1,0,0,0.4,0.4,1,0,0
P10-s9,P10-s3,10,9,3,1,1,0,0,1,2,0,1,1,0,0,0,0,0
P10-s10,P10-s1,10,10,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P10-s11,P10-s6,10,11,6,1,1,1,0,2,2,0,1,0,0,0,0,0,0
P10-s12,P10-s8,10,12,8,1,0,0,0,2,1,0,1,1,0,0,0,0,0
P10-s13,P10-s2,10,13,2,1,1,1,0,2,2,0,1,1,0,0,0,0,1
P10-s14,P10-s5,10,14,5,1,1,1,0,2,2,0,1,1,0,0,0,0,1
P10-s15,P10-s4,10,15,4,1,0,0,0,2,1,0,0,0,0,0,0,0,0
P10-s16,P10-s7,10,16,7,1,1,0,0,2,2,0,1,1,0,0,0,0,1
